Id,AC#,Artist,Title,Date,Medium,Dimensions,Category
2345,100217,"SMITH, Bruce","Scollard Street Deli",n.d.,"oil on board","image: 39 x 49.3 cm / 15 3/8"" x 19 3/8""; frame: 56.5 x 67 cm / 22 1/4"" x 26 3/8""",painting
2346,100216,"SMITH, Bruce","The Letter Box",n.d.,"oil on board","image: 44 x 59.3 cm / 17 3/8"" x  23 3/8""; frame: 62 x 77.5 cm / 24 3/8"" x 30 1/2""",painting
2347,100213,"SMITH, Bruce","Winter Farm",n.d.,"oil on board","image: 59.8 x 74.8 cm / 23.5"" x 29.25""; frame: 81.7 x 97 cm / 32 1/8"" x 38 1/8""",painting
2348,622682,"SMITH, Donald Applebe",Untitled,n.d.,serigraph,"actual: 91.4 x 76.2 cm / 36"" x 30""","work on paper"
2349,100073,"SMITH, G. M.","Petunias in Blue Vase",1991,"acrylic on canvas","sight: 39.5 x 29.5 cm / 15 1/2"" x 11 5/8""; frame: 58 x 48 cm / 22 7/8"" x 18 7/8""",painting
2350,100058,"SMITH, Gordon","Blue Painting","c. 1959","oil on canvas","55.8 x 84 cm / 22"" x 33""",painting
2351,623003,"SMITH, Gordon Hammond (Gord)","Untitled [maquette]","c. 1978","mixed media","23.5 x 55.9 x 10.2 cm / 9 1/4"" x 22"" x 4""","mixed media"
2352,661652,"SMITH, Lynda Gaelyn","Juggler #1",1992,"mixed media","122 x 122 cm / 48"" x 48""; frame: 123 x 123 cm / 48 3/8"" x 48 3/8""","mixed media"
2353,661716,"SMITH, Lynda Gaelyn","Untitled [maquette, 2 parts]",n.d.,"mixed media","[1] 20.5 x 61 cm / 8"" x 24""; [2] 51 x 81.2 cm / 20"" x 32""","mixed media"
2354,692616,"SMITH, William St. Thomas","Lobster Fisherman",n.d.,"watercolour on paper","38.1 x 55.9 cm / 15"" x 22""","work on paper"
2355,100461,"SMITH, William St. Thomas","The Brook",n.d.,"w/c on cardboard","27.3 x 38 cm / 10 3/4"" x 15""",painting
2356,625813,"SMITH, William St. Thomas","The Castle by the Sea",n.d.,"watercolour on paper","44.5 x 59.7 cm / 17 1/2"" x 23 1/2""","work on paper"
